Power;Speed;Avizo_Porosity_Mean;Avizo_Porosity_Std;Archimedes_porosity_Mean;Archimedes_porosity_Std;Pore_quantity_Sum;Diameter_Avizo_Mean;Diameter_Avizo_Std;Projected_Pore_area_Avg;Projected_Pore_area_Max;Projected_Pore_area_Sum;Sphericity_Avizo_Mean;Sphericity_Avizo_Std;Roughness_Avg_Mean;Roughness_Avg_Std;Roughness_RMS_Mean;Roughness_RMS_Std;Grain_diameter_Mean;Grain_diameter_Std;Grain_aspect_Mean;Grain_aspect_Std;Vicker_Mean;Vicker_Std;Strength_Mean;Strength_Std;Yield_mean;Yield_Std;Uniform_Mean;Uniform_Std;Ductility_Mean;Ductility_Std;Youngs_Modulus_Mean;Youngs_Modulus_Std
205;600;;;;;;;;;;;;;;;;;177;58.28;1.93;0.62;359;25;1015 ;8 ;936 ;8 ;5.69 ;0.22 ;8.03 ;0.81 ;109;6.04 
345;1000;;;;;;;;;;;;;;;;;188;73.75;1.88;0.58;374;12;1038 ;9 ;955 ;12 ;5.99 ;0.43 ;12.46 ;1.32 ;112;4.38 
415;1200;;;;;;;;;;;;;;;;;211;102.01;1.89;0.57;390;22;1054 ;21 ;977 ;20 ;5.82 ;0.19 ;13.58 ;1.54 ;113;5.13 
485;1400;;;;;;;;;;;;;;;;;257;128.72;1.95;0.60;384;21;1037 ;11 ;962 ;12 ;5.84 ;0.32 ;7.88 ;1.33 ;109;5.38 
500;1480;;;;;;;;;;;;;;;;;196;98.48;1.88;0.57;365;14;1015 ;24 ;946 ;25 ;4.21 ;1.07 ;4.47 ;1.18 ;108;5.15 
155;400;1.3591;0.2305;3.5888;0.8584;68407;51;16;4311;804900;502368400;0.97;0.05;17.62;7.66;22.15;8.66;182;75.27;1.91;0.59;370;10;965 ;8 ;897 ;7 ;4.12 ;1.39 ;5.10 ;2.19 ;104;8.38 
235;600;0.9718;0.2563;2.7060;0.8676;53425;50;16;3608;621400;346565100;0.98;0.05;13.78;3.02;16.80;3.35;191;73.23;1.89;0.61;388;19;1003 ;12 ;926 ;15 ;5.53 ;0.23 ;7.79 ;0.51 ;108;5.90 
395;1000;0.4503;0.0571;0.9296;0.8860;22826;47;13;4074;687700;116462400;0.99;0.03;13.68;2.11;17.32;0.97;164;58.19;1.90;0.59;387;21;1036 ;8 ;955 ;13 ;6.24 ;0.31 ;12.39 ;1.09 ;110;4.90 
475;1200;0.0523;0.009;0.6270;0.8883;2052;47;17;6573;200000;19245100;0.99;0.03;13.62;3.76;16.54;4.95;207;91.83;1.91;0.60;377;19;1055 ;12 ;975 ;13 ;5.97 ;0.28 ;12.50 ;3.60 ;113;7.30 
500;1290;0.0492;0.0083;0.5264;0.8901;1153;59;27;6129;199600;9218000;0.96;0.05;13.57;4.29;17.50;5.13;176;76.96;1.86;0.57;380;33;1033 ;15 ;959 ;18 ;6.00 ;0.36 ;10.81 ;2.73 ;109;3.16 
115;400;1.5472;0.385;4.5078;0.8495;76806;45;13;4081;326000;669935900;0.99;0.04;12.31;1.07;14.71;2.40;210;115.90;1.92;0.62;375;17;954 ;30 ;901 ;20 ;3.30 ;2.36 ;4.38 ;3.78 ;106;8.17 
175;600;0.5205;0.1392;2.1473;0.8739;40141;48;14;3903;432600;373070700;0.98;0.04;9.44;2.35;12.21;0.80;165;62.53;1.89;0.57;388;28;1046 ;12 ;972 ;8 ;5.69 ;0.35 ;8.55 ;1.49 ;111;3.35 
295;1000;0.1538;0.0555;0.7814;0.8824;16145;45;11;3843;698100;104951900;0.99;0.02;10.67;1.41;12.98;1.45;223;97.67;1.93;0.64;389;25;1074 ;19 ;993 ;22 ;6.07 ;0.28 ;13.46 ;1.52 ;118;4.93 
355;1200;0.0653;0.0223;0.5854;0.8886;7723;43;10;4126;199800;41864100;1.00;0.02;12.30;1.40;14.28;2.11;209;90.82;1.90;0.58;386;23;1075 ;13 ;997 ;12 ;6.08 ;0.22 ;14.09 ;1.88 ;114;6.22 
475;1600;4.6949;0.0488;2.8603;0.8667;11801;105;69;21643;1956700;339476500;0.85;0.12;11.13;2.12;13.32;1.23;224;128.98;1.89;0.57;420;15;960 ;73 ;902 ;80 ;2.76 ;0.87 ;3.01 ;1.09 ;104;10.55 
75;400;2.9905;0.1957;5.1688;0.8402;3179;97;101;7327;5554000;439496500;0.81;0.20;9.78;2.85;12.73;3.23;207;95.90;2.24;0.94;385;20;849 ;119 ;829 ;113 ;1.23 ;0.23 ;1.26 ;0.29 ;101;11.01 
115;600;0.6683;0.1811;2.3110;0.8719;46274;44;17;3315;243900;339480900;0.99;0.04;9.74;1.87;12.09;1.46;231;109.51;1.97;0.68;372;19;1040 ;33 ;989 ;33 ;2.71 ;0.56 ;3.05 ;0.78 ;116;6.30 
195;1000;0.1141;0.016;0.3531;0.8910;11094;44;11;3606;199700;62357800;1.00;0.02;10.79;1.01;12.00;0.82;205;100.63;1.87;0.57;378;17;1111 ;26 ;1047 ;23 ;6.29 ;0.42 ;14.22 ;1.40 ;118;7.70 
235;1200;0.0132;0.0056;0.3390;0.8917;2052;41;9;13627;197900;37515700;1.00;0.01;11.51;0.23;12.34;0.95;228;103.11;1.93;0.61;386;28;1113 ;25 ;1048 ;24 ;6.23 ;0.41 ;15.38 ;1.30 ;117;6.27 
315;1600;0.0097;0.0038;0.3869;0.8909;288;52;16;30228;345900;65020300;0.98;0.04;11.16;2.07;13.57;1.93;234;112.60;2.00;0.67;400;10;1079 ;37 ;1014 ;29 ;5.56 ;1.63 ;11.77 ;5.47 ;116;7.50 
